Date,Close,Open,High,Low,Volume,Change
2015-06-22,211.89,211.91,212.59,211.64,70700000.0,0.0051
2015-06-23,212.04,212.14,212.44,211.57,68480000.0,0.0007000000000000001
2015-06-24,210.5,211.72,212.17,210.47,92310000.0,-0.0073
2015-06-25,209.86,211.1,211.25,209.77,97110000.0,-0.003
2015-06-26,209.82,210.29,210.58,209.16,104170000.0,-0.0002
2015-06-29,205.42,208.04,209.83,205.33,202620000.0,-0.021
2015-06-30,205.85,207.26,207.32,205.28,182930000.0,0.0021
2015-07-01,207.5,207.73,208.03,206.56,135980000.0,0.008
2015-07-02,207.31,208.07,208.27,206.81,104370000.0,-0.0009
2015-07-06,206.72,205.77,207.65,205.53,117980000.0,-0.0028000000000000004
2015-07-07,208.02,206.96,208.17,204.11,173820000.0,0.0063
2015-07-08,204.53,206.42,206.76,204.25,164020000.0,-0.0168
2015-07-09,204.9,207.04,207.35,204.77,144110000.0,0.0018
2015-07-10,207.48,207.29,207.98,204.95,129460000.00000001,0.0126
2015-07-13,209.77,208.99,209.9,208.94,106070000.0,0.011000000000000001
2015-07-14,210.68,209.72,211.05,209.65,81710000.0,0.0043
2015-07-15,210.61,210.73,211.28,210.04,97910000.0,-0.0003
2015-07-16,212.3,211.87,212.3,211.58,106680000.0,0.008
2015-07-17,212.48,212.29,212.55,211.8,89030000.0,0.0008
2015-07-20,212.59,212.75,213.18,212.21,70450000.0,0.0005
2015-07-21,211.75,212.43,212.74,211.39,77970000.0,-0.004
2015-07-22,211.37,210.93,211.77,210.89,88670000.0,-0.0018
2015-07-23,210.18,211.53,211.65,209.75,90510000.0,-0.005600000000000001
2015-07-24,208.0,210.3,210.37,207.6,117750000.0,-0.0104
2015-07-27,206.79,206.94,207.55,206.26,132360000.00000001,-0.0058
2015-07-28,209.33,207.79,209.5,206.8,123540000.0,0.0123
2015-07-29,210.77,209.48,211.04,209.31,105790000.0,0.0069
2015-07-30,210.82,210.16,211.02,209.42,91300000.0,0.0002
2015-07-31,210.5,211.42,211.45,210.16,103270000.0,-0.0015
2015-08-03,209.79,210.46,210.53,208.65,113970000.0,-0.0034000000000000002
2015-08-04,209.38,209.7,210.25,208.8,81820000.0,-0.002
2015-08-05,210.07,210.45,211.31,209.73,85790000.0,0.0033
2015-08-06,208.35,210.29,210.41,207.65,116030000.0,-0.008199999999999999
2015-08-07,207.95,208.16,208.34,206.87,117860000.0,-0.0019
2015-08-10,210.57,209.28,210.67,209.28,80270000.0,0.0126
2015-08-11,208.67,208.97,209.47,207.76,126080000.0,-0.009000000000000001
2015-08-12,208.92,207.11,209.14,205.36,172120000.0,0.0012
2015-08-13,208.66,208.73,209.55,208.01,89380000.0,-0.0012
2015-08-14,209.42,208.43,209.51,208.26,72790000.0,0.0036
2015-08-17,210.59,208.71,210.59,208.16,79070000.0,0.005600000000000001
2015-08-18,209.98,210.26,210.68,209.7,71690000.0,-0.0029
2015-08-19,208.32,209.09,210.01,207.35,172950000.0,-0.0079
2015-08-20,203.97,206.51,208.29,203.9,194330000.0,-0.0209
2015-08-21,197.83,201.73,203.94,197.52,346590000.0,-0.0301
2015-08-24,189.5,187.49,197.48,182.4,507240000.0,-0.0421
2015-08-25,187.27,195.43,195.45,186.92,369830000.0,-0.0118
2015-08-26,194.46,192.08,194.79,188.37,339260000.0,0.0384
2015-08-27,199.27,197.02,199.42,195.21,274140000.0,0.024700000000000003
2015-08-28,199.28,198.5,199.84,197.92,160410000.0,0.0001
2015-08-31,197.67,198.11,199.12,197.01,163300000.0,-0.008100000000000001
2015-09-01,191.77,193.12,194.77,190.73,256000000.0,-0.0298
2015-09-02,195.41,194.62,195.46,192.42,160270000.0,0.019
2015-09-03,195.55,196.26,198.05,194.96,152090000.0,0.0007000000000000001
2015-09-04,192.59,192.85,193.86,191.61,207080000.0,-0.0151
2015-09-08,197.43,195.94,197.61,195.17,116030000.0,0.025099999999999997
2015-09-09,194.79,199.32,199.47,194.35,149350000.0,-0.0134
2015-09-10,195.85,194.56,197.22,194.25,158610000.0,0.0054
2015-09-11,196.74,195.38,196.82,194.53,119690000.0,0.0045000000000000005
2015-09-14,196.01,196.95,197.01,195.43,79450000.0,-0.0037
2015-09-15,198.46,196.61,198.99,195.96,113810000.0,0.0125
2015-09-16,200.18,198.82,200.41,198.41,99580000.0,0.0087
2015-09-17,199.73,200.02,202.89,199.28,276050000.0,-0.0022
2015-09-18,195.45,195.71,198.68,194.96,223660000.0,-0.021400000000000002
2015-09-21,196.46,196.44,197.68,195.21,105730000.0,0.0052
2015-09-22,193.91,193.88,194.46,192.56,153890000.0,-0.013000000000000001
2015-09-23,193.6,194.11,194.67,192.91,92790000.0,-0.0016
2015-09-24,192.9,192.15,193.45,190.56,159380000.0,-0.0036
2015-09-25,192.85,194.64,195.0,191.81,155050000.0,-0.0003
2015-09-28,188.01,191.78,191.91,187.64,178520000.0,-0.025099999999999997
2015-09-29,188.12,188.27,189.74,186.93,159050000.0,0.0006
2015-09-30,191.63,190.37,191.82,189.44,163450000.0,0.0187
2015-10-01,192.13,192.08,192.49,189.82,131080000.00000001,0.0026
2015-10-02,195.0,189.77,195.03,189.12,211000000.0,0.0149
2015-10-05,198.47,196.46,198.74,196.33,126320000.0,0.0178
2015-10-06,197.79,198.31,198.98,197.0,110270000.0,-0.0034000000000000002
2015-10-07,199.41,198.9,199.82,197.48,124310000.0,0.008199999999999999
2015-10-08,201.21,198.95,201.55,198.59,153060000.0,0.009000000000000001
2015-10-09,201.33,201.38,201.9,200.58,107070000.0,0.0006
2015-10-12,201.52,201.42,201.76,200.91,56400000.0,0.0009
2015-10-13,200.25,200.65,202.16,200.05,88040000.0,-0.0063
2015-10-14,199.29,200.18,200.87,198.94,99110000.0,-0.0048
2015-10-15,202.35,200.08,202.36,199.64,134139999.99999999,0.0154
2015-10-16,203.27,202.83,203.29,201.92,114580000.0,0.0045000000000000005
2015-10-19,203.37,202.5,203.37,202.13,76520000.0,0.0005
2015-10-20,203.11,202.85,203.84,202.55,78450000.0,-0.0013
2015-10-21,201.85,203.61,203.79,201.65,102040000.0,-0.0062
2015-10-22,205.26,202.98,205.51,201.85,174910000.0,0.0169
2015-10-23,207.51,207.25,207.95,206.3,144440000.0,0.011000000000000001
2015-10-26,207.0,207.3,207.37,206.56,69030000.0,-0.0025
2015-10-27,206.6,206.2,207.0,205.79,77910000.0,-0.0019
2015-10-28,208.95,207.0,208.98,206.21,135910000.0,0.011399999999999999
2015-10-29,208.83,208.35,209.27,208.21,90530000.0,-0.0006
2015-10-30,207.93,209.06,209.44,207.74,131080000.00000001,-0.0043
2015-11-02,210.39,208.32,210.62,208.17,86270000.0,0.0118
2015-11-03,211.0,209.97,211.66,209.7,95250000.0,0.0029
2015-11-04,210.36,211.35,211.5,209.72,96220000.0,-0.003
2015-11-05,210.15,210.43,210.98,209.09,78410000.0,-0.001
2015-11-06,210.04,209.74,210.32,208.46,110470000.0,-0.0005
2015-11-09,208.08,209.31,209.49,206.95,131009999.99999999,-0.009300000000000001
2015-11-10,208.56,207.51,208.6,207.19,75870000.0,0.0023
2015-11-11,207.74,208.88,208.94,207.66,67850000.0,-0.0039000000000000003
2015-11-12,204.84,206.5,207.06,204.82,121320000.0,-0.013999999999999999
2015-11-13,202.54,204.35,204.67,202.44,153580000.0,-0.011200000000000002
2015-11-16,205.62,202.32,205.69,202.18,117650000.0,0.0152
2015-11-17,205.47,205.99,207.04,204.88,121120000.0,-0.0007000000000000001
2015-11-18,208.73,206.04,208.9,205.99,121340000.0,0.0159
2015-11-19,208.55,208.59,209.05,208.2,88220000.0,-0.0009
2015-11-20,209.31,209.45,210.12,208.86,94010000.0,0.0036
2015-11-23,209.07,209.38,209.98,208.52,64930000.00000001,-0.0011
2015-11-24,209.35,207.87,209.83,207.41,98870000.0,0.0013
2015-11-25,209.32,209.5,209.74,209.01,51980000.0,-0.0001
2015-11-27,209.56,209.43,209.8,208.86,37320000.0,0.0011
2015-11-30,208.69,209.75,209.89,208.56,112820000.0,-0.0042
2015-12-01,210.68,209.44,210.82,209.11,97860000.0,0.0095
2015-12-02,208.53,210.62,211.0,208.23,108440000.0,-0.0102
2015-12-03,205.61,208.83,209.15,204.75,166220000.0,-0.013999999999999999
2015-12-04,209.62,206.08,209.97,205.93,192910000.0,0.0195
