"Date","Price","Open","High","Low","Vol.","Change %"
"08.10.2024","242,37","243,79","244,04","240,63","7,67M","-0,74%"
"07.10.2024","244,17","244,58","244,82","243,81","3,85M","-0,34%"
"04.10.2024","245,00","245,00","246,69","244,04","5,95M","-0,20%"
"03.10.2024","245,49","244,72","245,91","243,69","5,67M","-0,07%"
"02.10.2024","245,66","245,61","246,07","243,99","6,80M","0,02%"
"01.10.2024","245,61","245,20","246,98","245,06","10,61M","1,05%"
"30.09.2024","243,06","243,97","244,08","242,50","6,92M","-0,80%"
"27.09.2024","245,02","246,31","246,75","244,19","8,33M","-0,79%"
"26.09.2024","246,98","246,44","247,37","245,19","7,04M","0,51%"
"25.09.2024","245,73","246,19","246,47","244,79","7,39M","-0,14%"
"24.09.2024","246,07","243,39","246,19","243,15","8,39M","1,40%"
"23.09.2024","242,68","242,97","243,46","242,59","5,43M","0,19%"
"20.09.2024","242,21","241,11","242,63","240,47","7,74M","1,27%"
"19.09.2024","239,17","238,24","239,51","237,39","6,11M","1,55%"
"18.09.2024","235,51","238,19","240,29","235,30","11,08M","-0,77%"
"17.09.2024","237,34","238,08","238,60","236,61","5,26M","-0,55%"
"16.09.2024","238,66","238,73","239,28","238,05","4,71M","-0,01%"
"13.09.2024","238,68","238,13","238,98","237,76","7,46M","0,99%"
"12.09.2024","236,33","234,63","236,45","234,42","9,94M","1,76%"
"11.09.2024","232,25","231,72","232,87","231,09","4,64M","-0,16%"
"10.09.2024","232,62","232,39","232,74","231,12","4,38M","0,44%"
"09.09.2024","231,60","231,26","231,62","230,39","3,55M","0,42%"
"06.09.2024","230,63","231,83","232,76","229,62","6,32M","-0,74%"
"05.09.2024","232,35","232,72","232,89","231,33","4,84M","0,83%"
"04.09.2024","230,43","229,79","231,06","229,38","4,70M","0,06%"
"03.09.2024","230,29","230,38","230,54","228,52","6,42M","-0,43%"
"30.08.2024","231,29","232,53","232,86","230,55","5,74M","-0,71%"
"29.08.2024","232,95","231,95","233,61","231,92","5,52M","0,52%"
"28.08.2024","231,75","232,00","232,02","230,73","4,96M","-0,70%"
"27.08.2024","233,39","231,69","233,47","231,57","4,44M","0,27%"
"26.08.2024","232,76","233,45","233,50","232,06","3,15M","0,32%"
"23.08.2024","232,02","231,04","232,73","230,52","5,42M","1,16%"
"22.08.2024","229,37","230,35","230,38","228,26","5,77M","-1,20%"
"21.08.2024","232,15","231,69","232,87","230,48","5,34M","-0,13%"
"20.08.2024","232,46","233,71","234,01","231,13","9,07M","0,37%"
"19.08.2024","231,61","230,15","231,78","229,74","5,16M","-0,16%"
"16.08.2024","231,99","229,99","232,02","229,01","11,92M","2,24%"
"15.08.2024","226,91","226,51","227,50","225,12","5,27M","0,31%"
"14.08.2024","226,20","226,55","227,48","225,35","5,46M","-0,82%"
"13.08.2024","228,06","228,07","228,87","227,59","6,74M","-0,15%"
"12.08.2024","228,41","226,14","228,54","225,96","5,56M","1,71%"
"09.08.2024","224,56","224,82","225,28","223,82","4,44M","0,25%"
"08.08.2024","224,01","222,73","224,25","222,51","6,33M","1,57%"
"07.08.2024","220,55","221,94","222,31","220,35","5,29M","-0,07%"
"06.08.2024","220,70","221,50","222,14","220,11","14,36M","-0,80%"
"05.08.2024","222,48","220,56","223,10","220,24","8,94M","-1,27%"
"02.08.2024","225,34","227,95","228,76","222,87","11,11M","-0,19%"
"01.08.2024","225,77","226,74","227,57","225,05","7,22M","-0,34%"
"31.07.2024","226,55","223,73","226,60","223,64","7,32M","1,81%"
"30.07.2024","222,52","221,41","222,92","220,35","4,94M","1,00%"
"29.07.2024","220,32","221,26","221,55","219,04","4,67M","-0,14%"
"26.07.2024","220,63","219,96","221,04","219,70","6,33M","1,05%"
"25.07.2024","218,33","219,02","219,26","217,52","9,78M","-1,56%"
"24.07.2024","221,80","223,47","224,88","221,74","6,84M","-0,35%"
"23.07.2024","222,58","222,34","222,75","221,86","4,44M","0,35%"
"22.07.2024","221,80","221,58","221,92","220,40","5,33M","0,03%"
"19.07.2024","221,73","221,52","222,68","221,41","8,67M","-1,79%"
"18.07.2024","225,78","227,71","228,32","225,57","5,49M","-0,64%"
"17.07.2024","227,23","228,79","229,65","226,67","8,62M","-0,46%"
"16.07.2024","228,29","225,45","228,29","225,30","11,07M","1,99%"
"15.07.2024","223,83","223,39","225,59","223,02","5,72M","0,32%"
"12.07.2024","223,11","222,03","223,62","221,86","5,18M","-0,06%"
"11.07.2024","223,25","222,65","224,15","221,48","9,32M","1,77%"
"10.07.2024","219,36","220,14","220,71","219,16","5,56M","0,37%"
"09.07.2024","218,56","218,57","219,29","217,26","3,90M","0,17%"
"08.07.2024","218,19","219,64","220,04","217,41","5,79M","-1,24%"
"05.07.2024","220,93","219,58","221,28","219,58","5,95M","1,35%"
"03.07.2024","217,99","217,34","218,74","217,33","5,06M","1,13%"
"02.07.2024","215,56","215,33","216,08","214,62","4,92M","0,00%"
"01.07.2024","215,57","215,25","216,00","214,49","3,80M","0,26%"
"28.06.2024","215,01","215,64","215,81","214,82","3,96M","0,01%"
"27.06.2024","214,99","214,71","215,50","214,45","4,98M","1,13%"
"26.06.2024","212,58","212,39","213,11","212,12","4,69M","-0,92%"
"25.06.2024","214,56","214,96","215,31","214,12","3,85M","-0,50%"
"24.06.2024","215,63","215,55","215,94","215,20","4,63M","0,40%"
"21.06.2024","214,78","217,83","217,90","214,26","8,94M","-1,55%"
"20.06.2024","218,16","216,32","218,74","216,15","7,29M","1,25%"
"18.06.2024","215,47","214,38","215,83","214,04","4,92M","0,40%"
"17.06.2024","214,61","214,90","215,24","213,60","3,88M","-0,52%"
"14.06.2024","215,73","215,34","216,04","214,98","7,08M","1,30%"
"13.06.2024","212,97","214,44","214,96","212,26","5,86M","-0,82%"
"12.06.2024","214,72","216,47","216,55","214,20","5,91M","0,27%"
"11.06.2024","214,15","213,95","214,38","213,24","4,00M","0,29%"
