"Date","Price","Open","High","Low","Vol.","Change %"
"16.06.2023","181,63","181,93","182,62","181,41","8,78M","-0,15%"
"15.06.2023","181,91","180,28","182,05","180,18","6,74M","0,70%"
"14.06.2023","180,64","181,69","181,96","180,14","6,81M","0,06%"
"13.06.2023","180,54","182,10","182,43","180,16","5,13M","-0,74%"
"12.06.2023","181,88","181,80","181,94","181,04","4,88M","-0,09%"
"09.06.2023","182,04","182,36","182,79","181,72","4,38M","-0,27%"
"08.06.2023","182,53","182,00","183,04","181,96","6,39M","1,32%"
"07.06.2023","180,15","181,94","183,00","180,15","9,07M","-1,20%"
"06.06.2023","182,34","182,36","182,65","181,52","4,97M","0,11%"
"05.06.2023","182,14","180,79","182,44","180,60","6,40M","0,60%"
"02.06.2023","181,05","183,53","183,56","180,96","8,73M","-1,47%"
"01.06.2023","183,76","182,81","184,21","182,72","7,30M","0,79%"
"31.05.2023","182,32","182,39","183,45","182,10","8,50M","0,15%"
"30.05.2023","182,04","181,72","182,40","181,17","4,91M","0,62%"
"26.05.2023","180,92","181,01","181,30","180,09","5,82M","0,40%"
"25.05.2023","180,20","181,18","181,31","180,10","6,92M","-0,96%"
"24.05.2023","181,95","183,54","183,54","181,77","6,73M","-0,81%"
"23.05.2023","183,43","182,78","183,76","182,48","6,35M","0,12%"
"22.05.2023","183,21","183,22","183,84","182,91","4,83M","-0,23%"
"19.05.2023","183,64","182,25","184,34","181,81","8,43M","0,99%"
"18.05.2023","181,84","182,10","182,28","181,34","8,81M","-1,30%"
"17.05.2023","184,23","184,30","184,45","183,48","7,47M","-0,35%"
"16.05.2023","184,87","186,58","186,82","184,46","9,53M","-1,25%"
"15.05.2023","187,21","187,30","187,88","187,03","5,52M","0,21%"
"12.05.2023","186,81","187,43","187,92","186,58","7,09M","-0,17%"
"11.05.2023","187,13","188,44","188,81","186,86","8,25M","-0,86%"
"10.05.2023","188,75","188,98","189,64","187,82","9,39M","-0,14%"
"09.05.2023","189,02","188,12","189,33","188,07","7,10M","0,71%"
"08.05.2023","187,69","187,82","188,67","187,49","6,08M","0,12%"
"05.05.2023","187,46","186,56","187,58","185,77","12,51M","-1,56%"
"04.05.2023","190,44","188,86","191,36","188,81","14,15M","0,70%"
"03.05.2023","189,11","187,61","189,21","186,93","11,13M","0,85%"
"02.05.2023","187,52","184,65","187,64","184,51","13,55M","1,93%"
"01.05.2023","183,97","186,05","186,22","183,91","8,00M","-0,45%"
"28.04.2023","184,80","184,79","185,38","184,17","6,70M","0,03%"
"27.04.2023","184,75","183,90","184,99","183,38","9,11M","0,01%"
"26.04.2023","184,74","186,63","186,65","184,30","8,20M","-0,54%"
"25.04.2023","185,75","184,84","186,22","184,30","8,45M","0,51%"
"24.04.2023","184,81","184,07","185,02","183,46","8,30M","0,30%"
"21.04.2023","184,25","184,98","185,68","183,22","10,70M","-0,99%"
"20.04.2023","186,09","186,14","187,03","185,78","5,79M","0,39%"
"19.04.2023","185,36","184,35","185,58","184,28","7,37M","-0,48%"
"18.04.2023","186,25","185,24","186,99","185,04","8,06M","0,39%"
"17.04.2023","185,53","185,89","185,93","184,10","7,47M","-0,45%"
"14.04.2023","186,36","188,08","188,49","185,17","13,27M","-1,77%"
"13.04.2023","189,72","189,76","190,41","188,99","14,06M","1,35%"
"12.04.2023","187,19","187,54","187,66","185,97","10,00M","0,49%"
"11.04.2023","186,28","185,90","186,51","185,63","6,03M","0,63%"
"10.04.2023","185,11","185,18","185,36","184,19","6,41M","-0,74%"
"06.04.2023","186,49","186,89","187,26","185,95","6,65M","-0,71%"
"05.04.2023","187,83","188,34","188,86","186,78","11,44M","-0,08%"
"04.04.2023","187,98","184,72","188,23","184,66","13,77M","1,86%"
"03.04.2023","184,54","183,85","185,04","183,32","9,21M","0,72%"
"31.03.2023","183,22","184,11","184,42","182,80","8,00M","-0,52%"
"30.03.2023","184,18","182,75","184,44","182,55","6,36M","0,90%"
"29.03.2023","182,53","182,49","183,27","182,24","5,00M","-0,50%"
"28.03.2023","183,44","182,31","183,62","182,12","6,20M","0,82%"
"27.03.2023","181,95","181,15","182,15","180,69","6,93M","-0,93%"
"24.03.2023","183,65","185,61","185,99","183,62","9,25M","-1,13%"
"23.03.2023","185,74","183,91","186,24","183,60","11,35M","1,25%"
"22.03.2023","183,44","180,40","183,94","180,28","11,97M","1,70%"
"21.03.2023","180,37","182,65","182,73","179,90","10,73M","-1,89%"
"20.03.2023","183,84","184,19","184,54","182,74","11,85M","0,04%"
"17.03.2023","183,77","181,02","184,81","180,77","24,16M","2,91%"
"16.03.2023","178,57","179,51","179,65","177,87","10,76M","0,20%"
"15.03.2023","178,21","178,86","180,13","177,49","14,55M","0,78%"
"14.03.2023","176,83","177,35","177,59","176,21","10,02M","-0,58%"
"13.03.2023","177,86","176,66","178,02","176,30","20,55M","2,29%"
"10.03.2023","173,87","171,93","173,88","171,92","13,80M","2,16%"
"09.03.2023","170,20","169,75","170,65","169,71","5,58M","0,98%"
"08.03.2023","168,54","168,61","169,59","168,52","5,72M","-0,05%"
"07.03.2023","168,62","170,42","170,47","168,52","8,71M","-1,75%"
"06.03.2023","171,62","172,32","172,37","171,54","4,26M","-0,50%"
"03.03.2023","172,49","171,45","172,60","170,98","6,89M","1,07%"
"02.03.2023","170,66","170,52","170,98","170,36","3,95M","-0,06%"
"01.03.2023","170,76","170,95","171,49","170,47","6,59M","0,58%"
"28.02.2023","169,78","168,78","170,25","168,59","6,76M","0,46%"
"27.02.2023","169,01","168,88","169,23","168,55","4,51M","0,39%"
"24.02.2023","168,35","168,42","168,84","168,19","6,50M","-0,72%"
"23.02.2023","169,57","169,84","170,13","169,08","5,07M","-0,05%"
"22.02.2023","169,66","170,81","170,96","169,56","4,11M","-0,56%"
"21.02.2023","170,62","171,20","171,50","170,34","4,04M","-0,37%"
"17.02.2023","171,26","169,87","171,47","169,52","4,81M","0,30%"
"16.02.2023","170,75","170,34","171,60","169,96","4,54M","-0,08%"
"15.02.2023","170,89","170,60","170,99","170,16","5,44M","-1,00%"
"14.02.2023","172,61","171,97","173,51","171,41","5,40M","0,08%"
"13.02.2023","172,48","172,70","172,90","172,07","3,97M","-0,51%"
"10.02.2023","173,36","173,63","173,68","172,63","2,97M","0,19%"
"09.02.2023","173,03","175,49","175,52","172,87","5,36M","-0,79%"
"08.02.2023","174,41","174,94","174,99","173,83","4,08M","0,25%"
"07.02.2023","173,98","173,72","175,27","173,47","6,79M","0,09%"
"06.02.2023","173,82","174,11","174,46","173,28","8,96M","0,21%"
"03.02.2023","173,46","174,92","175,43","173,12","13,67M","-2,50%"
"02.02.2023","177,90","181,08","181,11","177,74","8,84M","-2,08%"
"01.02.2023","181,67","179,75","181,73","178,63","8,00M","1,26%"
"31.01.2023","179,41","178,82","179,70","178,54","5,98M","0,36%"
"30.01.2023","178,76","179,29","179,43","178,65","4,21M","-0,26%"
"27.01.2023","179,22","179,27","179,72","178,26","6,05M","-0,14%"
"26.01.2023","179,47","180,15","180,26","178,46","5,86M","-0,91%"
"25.01.2023","181,11","179,35","181,22","179,29","6,93M","0,46%"
"24.01.2023","180,28","179,56","180,32","178,35","4,60M","0,36%"
"23.01.2023","179,63","178,35","179,69","177,78","5,27M","0,19%"
"20.01.2023","179,29","179,06","179,66","178,65","5,75M","-0,33%"
"19.01.2023","179,89","178,37","180,03","178,09","6,68M","1,59%"
"18.01.2023","177,08","178,92","179,18","176,90","5,38M","-0,29%"
"17.01.2023","177,59","178,21","178,24","177,09","6,61M","-0,65%"
"13.01.2023","178,76","176,96","178,82","176,89","7,47M","1,20%"
"12.01.2023","176,64","176,01","176,71","174,88","6,94M","1,16%"
"11.01.2023","174,62","174,76","174,79","173,72","3,37M","-0,07%"
"10.01.2023","174,74","174,61","174,98","174,06","4,40M","0,37%"
"09.01.2023","174,10","174,51","175,04","173,88","5,13M","0,22%"
"06.01.2023","173,71","171,76","173,96","171,23","7,89M","1,87%"
"05.01.2023","170,52","170,82","171,00","169,79","4,69M","-1,25%"
"04.01.2023","172,67","172,86","173,09","171,85","7,57M","0,94%"
"03.01.2023","171,06","171,32","172,09","170,02","7,99M","0,84%"
"30.12.2022","169,64","169,26","169,90","168,79","2,86M","0,47%"
"29.12.2022","168,85","168,54","169,35","168,52","3,35M","0,56%"
"28.12.2022","167,91","168,05","168,34","167,10","3,66M","-0,45%"
"27.12.2022","168,67","167,89","170,61","167,80","6,89M","0,84%"
"23.12.2022","167,26","166,88","167,79","166,66","2,91M","0,30%"
"22.12.2022","166,76","167,76","167,76","166,06","5,67M","-1,21%"
"21.12.2022","168,80","169,04","169,71","168,68","3,99M","-0,17%"
"20.12.2022","169,08","168,10","169,53","168,03","7,80M","1,66%"
"19.12.2022","166,32","166,71","167,11","165,99","3,94M","-0,28%"
"16.12.2022","166,79","166,02","166,98","165,84","5,37M","0,87%"
"15.12.2022","165,35","165,73","166,21","165,10","8,37M","-1,64%"
"14.12.2022","168,10","168,43","168,81","167,14","5,64M","-0,24%"
"13.12.2022","168,51","169,21","169,79","168,02","6,75M","1,71%"
"12.12.2022","165,68","166,44","166,60","165,43","3,50M","-0,83%"
"09.12.2022","167,06","167,26","168,09","166,60","5,43M","0,35%"
"08.12.2022","166,47","166,58","167,04","166,07","3,22M","0,08%"
"07.12.2022","166,33","165,47","166,64","165,32","4,61M","0,90%"
"06.12.2022","164,84","165,20","165,54","164,45","3,60M","0,27%"
"05.12.2022","164,39","166,55","166,72","164,32","5,44M","-1,72%"
"02.12.2022","167,26","166,18","167,47","165,76","5,19M","-0,35%"
"01.12.2022","167,84","167,48","167,95","166,98","8,63M","1,84%"
"30.11.2022","164,81","163,69","164,81","162,40","4,87M","1,28%"
"29.11.2022","162,73","162,70","163,63","162,60","2,62M","0,49%"
"28.11.2022","161,93","162,93","163,06","161,91","4,05M","-0,79%"
"25.11.2022","163,22","162,85","163,43","162,76","1,44M","0,09%"
"23.11.2022","163,08","161,69","163,24","161,56","4,17M","0,62%"
"22.11.2022","162,07","162,30","162,60","161,72","3,20M","0,12%"
"21.11.2022","161,88","162,44","162,50","161,28","4,77M","-0,56%"
"18.11.2022","162,79","163,38","163,69","162,68","4,32M","-0,69%"
"17.11.2022","163,92","163,79","164,11","163,40","4,58M","-0,73%"
"16.11.2022","165,12","165,41","165,71","164,83","3,65M","-0,23%"
"15.11.2022","165,50","165,27","166,23","164,56","9,90M","0,35%"
"14.11.2022","164,92","164,20","165,24","164,15","6,19M","0,22%"
"11.11.2022","164,56","163,91","164,58","163,42","4,62M","0,66%"
"10.11.2022","163,48","162,01","163,51","161,65","9,94M","3,04%"
"09.11.2022","158,65","159,36","160,35","158,45","6,04M","-0,50%"
"08.11.2022","159,45","155,99","159,87","155,98","11,30M","2,31%"
"07.11.2022","155,85","156,22","156,57","155,81","4,43M","-0,40%"
"04.11.2022","156,47","154,95","156,60","154,66","7,69M","3,07%"
"03.11.2022","151,81","150,70","151,96","150,57","5,38M","-0,38%"
"02.11.2022","152,39","154,16","155,42","152,26","7,22M","-0,70%"
"01.11.2022","153,46","153,82","153,98","152,87","4,60M","1,02%"
"31.10.2022","151,91","152,16","152,87","151,89","6,10M","-0,82%"
"28.10.2022","153,16","152,96","153,54","152,50","4,65M","-1,02%"
"27.10.2022","154,74","154,71","155,09","154,22","3,65M","-0,15%"
"26.10.2022","154,98","154,78","155,73","154,78","4,45M","0,64%"
"25.10.2022","154,00","153,96","154,79","153,83","3,43M","0,23%"
"24.10.2022","153,65","153,45","154,06","153,06","4,67M","-0,32%"
"21.10.2022","154,15","151,98","154,31","151,83","6,90M","1,78%"
"20.10.2022","151,45","151,92","153,23","151,27","5,02M","-0,16%"
"19.10.2022","151,69","152,09","152,49","151,54","8,26M","-1,34%"
"18.10.2022","153,75","154,08","154,24","153,24","4,53M","0,22%"
"17.10.2022","153,42","154,92","155,33","153,32","4,35M","0,29%"
"14.10.2022","152,98","154,02","154,20","152,72","5,47M","-1,25%"
"13.10.2022","154,91","153,48","155,73","152,92","7,08M","-0,69%"
"12.10.2022","155,99","155,51","156,29","155,26","4,00M","0,53%"
"11.10.2022","155,16","155,49","156,81","154,92","5,31M","-0,21%"
"10.10.2022","155,48","155,94","156,35","155,12","6,11M","-1,52%"
"07.10.2022","157,88","158,46","158,98","157,68","5,03M","-1,10%"
"06.10.2022","159,63","159,41","159,94","158,95","5,71M","-0,11%"
"05.10.2022","159,81","159,32","160,08","158,38","5,30M","-0,55%"
"04.10.2022","160,70","159,18","161,08","158,92","8,02M","1,43%"
"03.10.2022","158,43","155,44","158,48","155,23","10,36M","2,43%"
"30.09.2022","154,67","154,94","156,04","154,57","6,83M","0,01%"
"29.09.2022","154,66","154,14","155,03","153,16","6,32M","-0,02%"
"28.09.2022","154,69","153,20","154,88","152,93","8,98M","2,08%"
"27.09.2022","151,54","152,25","152,73","151,50","7,15M","0,20%"
"26.09.2022","151,23","153,22","153,51","151,03","8,24M","-1,16%"
"23.09.2022","153,01","153,90","154,00","152,64","9,60M","-1,73%"
"22.09.2022","155,70","156,26","156,48","155,31","5,98M","-0,06%"
"21.09.2022","155,79","155,97","157,25","154,01","7,82M","0,46%"
"20.09.2022","155,07","155,03","155,23","154,59","5,94M","-0,57%"
"19.09.2022","155,96","154,87","156,04","154,82","5,58M","0,08%"
"16.09.2022","155,84","154,66","156,56","154,34","7,14M","0,55%"
"15.09.2022","154,98","156,76","157,49","154,62","13,18M","-1,87%"
"14.09.2022","157,93","158,68","158,98","157,73","6,09M","-0,38%"
"13.09.2022","158,54","158,47","159,27","158,39","6,53M","-1,30%"
"12.09.2022","160,63","161,04","161,62","160,55","4,54M","0,51%"
"09.09.2022","159,82","159,72","160,24","159,41","3,93M","0,53%"
"08.09.2022","158,98","159,54","159,86","158,71","4,61M","-0,60%"
"07.09.2022","159,94","158,15","160,15","158,08","3,98M","1,02%"
"06.09.2022","158,33","159,17","159,46","158,32","4,86M","-0,58%"
"02.09.2022","159,26","159,35","160,06","159,14","5,20M","0,88%"
"01.09.2022","157,87","158,17","158,39","157,32","7,39M","-0,88%"
"31.08.2022","159,27","159,50","160,57","159,26","5,44M","-0,77%"
"30.08.2022","160,51","161,27","161,43","160,34","4,86M","-0,83%"
"29.08.2022","161,86","161,88","162,62","161,70","4,70M","0,06%"
"26.08.2022","161,76","163,12","163,61","161,55","6,69M","-1,22%"
"25.08.2022","163,75","163,97","163,99","163,24","2,86M","0,31%"
"24.08.2022","163,25","162,44","163,61","162,37","3,20M","0,29%"
"23.08.2022","162,77","161,96","163,43","161,91","4,43M","0,70%"
"22.08.2022","161,64","161,66","162,12","161,36","4,46M","-0,66%"
"19.08.2022","162,72","163,65","163,74","162,62","8,17M","-0,73%"
"18.08.2022","163,92","164,60","164,91","163,54","3,65M","-0,26%"
"17.08.2022","164,35","165,21","165,23","163,95","5,57M","-0,65%"
"16.08.2022","165,42","165,31","165,72","165,18","4,29M","-0,18%"
"15.08.2022","165,71","165,99","166,25","165,44","5,24M","-1,29%"
"12.08.2022","167,87","167,17","167,94","166,83","5,15M","0,92%"
"11.08.2022","166,34","167,16","167,66","166,31","4,45M","-0,26%"
"10.08.2022","166,78","167,39","167,98","166,62","4,08M","-0,25%"
"09.08.2022","167,20","167,48","167,80","166,82","3,21M","0,31%"
"08.08.2022","166,69","166,03","166,81","165,93","3,46M","0,85%"
"05.08.2022","165,29","164,99","165,84","164,87","6,02M","-1,12%"
"04.08.2022","167,17","165,53","167,31","165,34","5,50M","1,65%"
"03.08.2022","164,45","164,77","164,91","163,48","4,42M","0,24%"
"02.08.2022","164,05","165,66","166,46","164,02","5,73M","-0,59%"
"01.08.2022","165,03","164,98","165,41","164,41","4,67M","0,57%"
"29.07.2022","164,10","163,89","164,69","163,28","7,54M","0,28%"
"28.07.2022","163,64","163,31","163,76","162,88","5,61M","1,22%"
"27.07.2022","161,67","160,02","162,21","159,51","5,71M","1,02%"
"26.07.2022","160,04","160,23","160,50","159,79","2,67M","-0,12%"
"25.07.2022","160,23","160,64","160,70","159,81","3,71M","-0,27%"
"22.07.2022","160,67","160,55","162,13","160,35","5,73M","0,25%"
"21.07.2022","160,27","158,31","160,31","158,27","5,86M","1,41%"
"20.07.2022","158,04","159,71","159,82","158,02","4,80M","-0,94%"
"19.07.2022","159,54","159,47","159,87","159,33","3,80M","0,24%"
"18.07.2022","159,16","160,08","160,43","159,05","5,79M","0,09%"
"15.07.2022","159,01","159,01","159,25","158,35","6,78M","-0,20%"
"14.07.2022","159,33","159,02","159,83","158,22","12,21M","-1,40%"
"13.07.2022","161,60","160,10","162,71","160,06","8,46M","0,48%"
"12.07.2022","160,83","161,22","161,62","160,72","5,38M","-0,37%"
"11.07.2022","161,43","161,93","162,43","161,38","4,32M","-0,54%"
"08.07.2022","162,30","162,35","163,38","161,84","4,58M","0,04%"
"07.07.2022","162,23","162,43","163,04","162,06","4,59M","0,06%"
"06.07.2022","162,14","164,32","164,57","161,47","11,86M","-1,58%"
"05.07.2022","164,75","167,18","167,33","164,41","14,04M","-2,12%"
"01.07.2022","168,32","167,13","168,68","166,96","11,38M","-0,08%"
"30.06.2022","168,46","169,51","169,96","168,24","9,14M","-0,61%"
"29.06.2022","169,49","170,58","170,70","169,17","4,79M","-0,08%"
"28.06.2022","169,62","170,07","170,21","169,51","2,98M","-0,16%"
"27.06.2022","169,90","170,60","170,67","169,75","5,72M","-0,11%"
"24.06.2022","170,09","170,24","170,74","169,85","6,14M","-0,10%"
"23.06.2022","170,26","171,39","172,13","169,90","6,54M","-0,61%"
"22.06.2022","171,31","171,61","172,30","171,10","6,56M","0,40%"
"21.06.2022","170,63","171,06","171,91","170,47","5,61M","-0,37%"
"17.06.2022","171,27","172,15","172,30","170,97","7,41M","-0,82%"
"16.06.2022","172,69","170,56","172,77","170,17","8,82M","1,12%"
"15.06.2022","170,77","170,40","171,84","169,08","9,00M","1,31%"
"14.06.2022","168,57","169,61","169,73","168,30","7,35M","-0,80%"
"13.06.2022","169,93","171,18","171,34","169,61","13,27M","-2,64%"
"10.06.2022","174,54","170,89","174,94","170,46","16,86M","1,34%"
"09.06.2022","172,23","172,45","172,59","171,58","4,70M","-0,32%"
"08.06.2022","172,78","172,89","173,45","172,67","5,14M","-0,09%"
"07.06.2022","172,94","172,11","173,05","171,99","3,86M","0,65%"
"06.06.2022","171,82","172,81","172,89","171,65","3,77M","-0,44%"
"03.06.2022","172,58","173,53","173,96","172,25","5,52M","-1,02%"
"02.06.2022","174,35","173,66","174,45","173,49","5,62M","1,23%"
"01.06.2022","172,23","172,21","172,53","171,39","6,95M","0,64%"
"31.05.2022","171,14","172,71","173,07","171,08","6,24M","-0,99%"
"27.05.2022","172,85","173,49","173,52","172,64","3,85M","0,05%"
"26.05.2022","172,76","172,13","172,93","171,76","6,47M","-0,18%"
"25.05.2022","173,08","172,79","173,16","171,73","4,60M","-0,60%"
"24.05.2022","174,13","173,47","174,41","173,35","6,79M","0,75%"
"23.05.2022","172,83","173,13","173,38","172,28","5,52M","0,47%"
"20.05.2022","172,03","171,71","172,24","170,89","6,58M","0,07%"
"19.05.2022","171,91","171,55","172,52","170,89","10,58M","1,47%"
"18.05.2022","169,42","169,01","170,21","168,81","7,47M","0,05%"
"17.05.2022","169,33","170,44","170,53","169,14","6,44M","-0,63%"
"16.05.2022","170,40","168,43","170,43","168,34","7,32M","0,95%"
"13.05.2022","168,79","168,31","169,62","168,01","13,03M","-0,81%"
"12.05.2022","170,17","172,07","172,40","169,90","11,56M","-1,53%"
"11.05.2022","172,82","172,51","173,32","172,20","9,16M","0,82%"
"10.05.2022","171,42","173,80","173,96","171,20","11,00M","-0,84%"
"09.05.2022","172,88","174,27","174,27","172,79","10,74M","-1,45%"
"06.05.2022","175,42","175,39","176,56","174,86","7,64M","0,17%"
"05.05.2022","175,13","177,56","177,61","174,66","12,79M","-0,38%"
"04.05.2022","175,80","174,32","176,35","173,67","10,49M","0,98%"
"03.05.2022","174,09","173,89","175,21","173,85","7,21M","0,26%"
"02.05.2022","173,63","173,61","174,65","172,98","14,32M","-1,85%"
"29.04.2022","176,91","178,07","178,60","176,72","7,72M","-0,01%"
"28.04.2022","176,93","175,92","176,96","175,69","6,38M","0,54%"
"27.04.2022","175,98","176,46","176,64","175,50","8,85M","-0,76%"
"26.04.2022","177,32","177,95","178,30","176,91","9,04M","0,15%"
"25.04.2022","177,05","177,15","177,51","176,49","12,95M","-1,80%"
"22.04.2022","180,29","180,72","181,60","179,74","9,15M","-0,97%"
"21.04.2022","182,06","181,77","182,32","180,77","9,64M","-0,36%"
"20.04.2022","182,71","181,59","182,72","181,35","7,04M","0,49%"
"19.04.2022","181,82","183,19","183,65","181,33","12,38M","-1,51%"
"18.04.2022","184,61","185,95","186,10","184,39","8,89M","0,31%"
"14.04.2022","184,04","184,28","184,41","182,88","11,57M","-0,33%"
"13.04.2022","184,65","184,50","184,94","184,13","8,63M","0,48%"
"12.04.2022","183,77","184,04","184,64","182,96","11,97M","0,77%"
"11.04.2022","182,37","183,17","183,33","181,11","10,02M","0,50%"
"08.04.2022","181,47","180,52","181,82","180,52","10,66M","0,63%"
"07.04.2022","180,34","179,87","180,88","179,80","10,12M","0,38%"
"06.04.2022","179,66","179,78","180,31","178,70","8,94M","0,23%"
"05.04.2022","179,24","180,91","181,49","178,93","10,79M","-0,63%"
"04.04.2022","180,37","180,24","180,81","179,58","7,01M","0,48%"
"01.04.2022","179,50","179,55","180,46","178,98","13,03M","-0,64%"
"31.03.2022","180,65","180,91","181,96","180,56","9,68M","0,04%"
"30.03.2022","180,58","179,76","180,92","179,68","8,26M","0,80%"
"29.03.2022","179,14","177,02","179,33","176,69","10,16M","0,04%"
"28.03.2022","179,06","180,38","181,32","178,85","9,33M","-1,82%"
"25.03.2022","182,38","181,81","183,13","181,35","7,91M","-0,41%"
"24.03.2022","183,13","182,35","183,51","181,77","10,51M","0,73%"
"23.03.2022","181,81","180,29","181,89","179,76","12,53M","1,37%"
"22.03.2022","179,36","179,60","179,71","178,32","9,62M","-0,73%"
"21.03.2022","180,67","179,33","181,29","179,32","10,58M","0,76%"
"18.03.2022","179,30","179,93","180,93","179,04","14,00M","-0,88%"
"17.03.2022","180,89","181,16","182,03","180,65","10,89M","0,49%"
"16.03.2022","180,01","179,13","180,12","176,87","17,38M","0,63%"
"15.03.2022","178,89","179,10","180,27","178,01","16,94M","-1,87%"
"14.03.2022","182,30","183,03","183,29","181,95","13,19M","-1,51%"
"11.03.2022","185,09","183,74","185,78","183,44","14,82M","-0,70%"
"10.03.2022","186,40","186,88","187,38","184,99","17,55M","0,31%"
"09.03.2022","185,82","186,04","187,23","184,76","26,80M","-2,97%"
"08.03.2022","191,51","188,35","193,30","188,26","47,26M","2,74%"
"07.03.2022","186,41","184,45","186,64","184,22","26,97M","1,49%"
"04.03.2022","183,68","182,11","183,98","181,36","22,41M","1,59%"
"03.03.2022","180,80","179,96","181,30","179,50","15,16M","0,60%"
"02.03.2022","179,73","180,13","180,71","178,79","19,62M","-1,04%"
"01.03.2022","181,62","179,05","181,76","179,03","21,67M","1,82%"
"28.02.2022","178,38","178,86","178,99","176,50","15,98M","1,04%"
"25.02.2022","176,55","176,42","176,79","175,79","11,53M","-0,33%"
"24.02.2022","177,14","182,59","182,60","175,27","32,37M","-0,65%"
"23.02.2022","178,29","177,39","178,39","177,36","11,67M","0,45%"
"22.02.2022","177,49","177,67","178,07","176,82","14,81M","0,21%"
"18.02.2022","177,12","177,07","177,25","176,51","12,76M","-0,07%"
"17.02.2022","177,25","176,70","177,53","176,39","18,56M","1,37%"
"16.02.2022","174,86","173,49","174,86","173,48","12,70M","1,03%"
"15.02.2022","173,08","173,10","173,34","172,39","12,39M","-0,95%"
"14.02.2022","174,74","173,78","175,00","173,68","13,38M","0,54%"
"11.02.2022","173,81","170,75","174,20","170,71","25,74M","1,91%"
"10.02.2022","170,56","170,52","171,99","170,46","10,51M","-0,38%"
"09.02.2022","171,21","170,68","171,42","170,55","7,77M","0,34%"
"08.02.2022","170,63","170,10","170,78","169,95","5,80M","0,31%"
"07.02.2022","170,11","169,45","170,30","169,19","7,76M","0,74%"
"04.02.2022","168,86","168,04","169,10","167,99","9,62M","0,15%"
"03.02.2022","168,60","168,31","168,82","167,03","10,61M","-0,14%"
"02.02.2022","168,84","168,34","169,12","168,15","8,95M","0,36%"
"01.02.2022","168,23","168,57","168,85","167,87","9,73M","0,08%"
"31.01.2022","168,09","167,79","168,14","167,46","8,33M","0,59%"
"28.01.2022","167,10","166,56","167,46","166,37","9,78M","-0,30%"
"27.01.2022","167,60","168,02","169,09","167,32","15,58M","-1,29%"
"26.01.2022","169,79","171,39","171,73","169,48","17,63M","-1,62%"
"25.01.2022","172,58","171,95","173,15","171,77","16,94M","0,32%"
"24.01.2022","172,03","171,78","172,14","170,85","14,99M","0,55%"
"21.01.2022","171,09","172,04","172,12","170,74","10,98M","-0,33%"
"20.01.2022","171,65","172,31","172,60","171,59","9,49M","-0,25%"
"19.01.2022","172,08","170,39","172,19","170,20","15,73M","1,59%"
"18.01.2022","169,39","169,64","170,01","169,09","9,10M","-0,17%"
"14.01.2022","169,67","170,22","170,56","169,48","7,87M","-0,29%"
"13.01.2022","170,16","170,09","170,22","169,27","6,65M","-0,34%"
"12.01.2022","170,74","170,19","170,75","170,01","6,18M","0,26%"
"11.01.2022","170,29","168,44","170,31","168,37","8,32M","1,21%"
"10.01.2022","168,26","167,36","168,30","167,31","6,84M","0,30%"
"07.01.2022","167,75","167,37","168,01","166,86","8,19M","0,46%"
"06.01.2022","166,99","167,16","167,75","166,86","10,50M","-1,22%"
"05.01.2022","169,06","170,62","170,93","168,90","8,58M","-0,30%"
"04.01.2022","169,57","168,90","169,72","168,73","6,93M","0,74%"
"03.01.2022","168,33","168,86","169,01","168,00","8,91M","-1,54%"
"31.12.2021","170,96","170,53","171,04","170,04","7,04M","0,68%"
"30.12.2021","169,80","168,43","169,81","168,37","5,42M","0,72%"
"29.12.2021","168,59","167,36","168,69","167,28","5,88M","-0,03%"
"28.12.2021","168,64","169,33","169,65","168,62","4,47M","-0,43%"
"27.12.2021","169,37","168,96","169,42","168,78","4,48M","0,24%"
"23.12.2021","168,97","168,69","169,16","168,01","4,55M","0,23%"
"22.12.2021","168,59","167,58","168,64","167,11","4,63M","0,94%"
"21.12.2021","167,02","167,69","167,78","166,74","4,45M","-0,04%"
"20.12.2021","167,09","167,88","168,00","167,06","6,87M","-0,42%"
"17.12.2021","167,80","168,73","169,13","167,78","9,87M","-0,21%"
"16.12.2021","168,16","167,01","168,18","166,94","11,04M","1,21%"
"15.12.2021","166,15","165,27","166,40","163,80","14,21M","0,43%"
"14.12.2021","165,44","165,34","166,14","165,16","8,58M","-0,93%"
"13.12.2021","167,00","166,90","167,26","166,67","6,46M","0,25%"
"10.12.2021","166,58","166,72","166,91","166,18","6,45M","0,42%"
"09.12.2021","165,88","166,54","166,58","165,65","4,91M","-0,61%"
"08.12.2021","166,90","166,51","166,96","166,28","4,25M","0,05%"
"07.12.2021","166,81","166,20","167,08","166,18","4,59M","0,35%"
"06.12.2021","166,22","166,14","166,80","165,93","4,81M","-0,25%"
"03.12.2021","166,63","165,49","166,93","165,00","9,51M","0,84%"
"02.12.2021","165,24","165,93","165,93","164,63","9,60M","-0,55%"
"01.12.2021","166,16","166,79","167,47","166,06","7,83M","0,40%"
"30.11.2021","165,50","167,84","169,01","165,37","12,93M","-0,67%"
"29.11.2021","166,62","166,83","167,24","166,51","7,39M","-0,14%"
"26.11.2021","166,85","168,60","168,64","166,37","9,60M","-0,16%"
"24.11.2021","167,12","166,58","167,44","166,32","5,36M","-0,10%"
"23.11.2021","167,28","167,24","167,59","166,55","8,05M","-0,87%"
