Date,Close,Open,High,Low,Volume,Change
2015-07-14,110.2,109.63,110.5,109.57,21980000.0,0.0066
2015-07-15,110.32,110.41,110.75,110.01,28630000.0,0.0011
2015-07-16,111.88,111.23,111.9,111.01,29840000.0,0.0141
2015-07-17,113.53,112.78,113.53,112.59,35930000.0,0.0147
2015-07-20,113.92,113.77,114.33,113.42,26540000.0,0.0034000000000000002
2015-07-21,113.85,113.96,114.14,113.52,35470000.0,-0.0006
2015-07-22,112.56,112.11,113.11,112.11,35570000.0,-0.0113
2015-07-23,112.14,112.67,113.04,111.85,25700000.0,-0.0037
2015-07-24,111.04,112.74,112.94,110.87,30840000.0,-0.0098
2015-07-27,110.12,110.41,110.89,109.88,35990000.0,-0.0083
2015-07-28,111.07,110.61,111.29,109.73,33549999.999999996,0.0086
2015-07-29,111.49,111.31,111.73,110.88,26710000.0,0.0038
2015-07-30,112.02,111.23,112.21,110.56,25440000.0,0.0048
2015-07-31,111.89,112.37,112.43,111.66,22080000.0,-0.0012
2015-08-03,111.54,111.91,112.22,110.8,25000000.0,-0.0031
2015-08-04,111.33,111.49,111.69,110.87,22130000.0,-0.0019
2015-08-05,112.19,111.95,112.94,111.82,28990000.0,0.0077
2015-08-06,110.39,112.29,112.44,109.89,42130000.0,-0.016
2015-08-07,110.25,110.12,110.51,109.34,30010000.0,-0.0013
2015-08-10,111.51,110.95,111.75,110.94,21500000.0,0.011399999999999999
2015-08-11,110.08,110.92,111.35,109.47,36120000.0,-0.0128
2015-08-12,110.46,109.32,110.68,108.16,41890000.0,0.0034999999999999996
2015-08-13,110.28,110.57,111.1,110.04,22510000.0,-0.0016
2015-08-14,110.45,110.02,110.61,109.8,17920000.0,0.0015
2015-08-17,111.37,110.18,111.4,109.9,21220000.0,0.0083
2015-08-18,110.8,111.22,111.31,110.65,13980000.0,-0.0051
2015-08-19,110.07,110.46,111.05,109.43,42510000.0,-0.0066
2015-08-20,107.02,109.05,109.4,107.01,57750000.0,-0.0277
2015-08-21,102.35,105.51,106.41,102.35,97760000.0,-0.0436
2015-08-24,98.41,94.18,102.48,84.7,150830000.0,-0.0385
2015-08-25,98.04,102.02,102.69,97.96,75090000.0,-0.0038
2015-08-26,102.98,100.91,103.18,98.88,104100000.0,0.0504
2015-08-27,105.58,104.47,105.65,103.23,69380000.0,0.0252
2015-08-28,105.56,105.02,105.94,104.79,49920000.0,-0.0002
2015-08-31,104.26,104.97,105.55,104.0,39550000.0,-0.0123
2015-09-01,101.0,101.66,103.24,100.58,73160000.0,-0.0313
2015-09-02,103.85,102.83,103.87,101.65,43960000.0,0.0282
2015-09-03,103.34,104.26,104.96,103.05,45130000.0,-0.0049
2015-09-04,102.11,101.92,102.79,101.54,49380000.0,-0.011899999999999999
2015-09-08,104.98,104.07,105.11,103.64,37340000.0,0.0281
2015-09-09,103.81,106.22,106.25,103.54,47150000.0,-0.0111
2015-09-10,104.93,103.69,105.62,103.57,47690000.0,0.0108
2015-09-11,105.51,104.46,105.51,104.16,29110000.0,0.0055000000000000005
2015-09-14,105.19,105.9,105.92,104.79,19720000.0,-0.003
2015-09-15,106.43,105.44,106.76,105.05,30020000.0,0.0118
2015-09-16,107.03,106.45,107.13,106.08,31330000.0,0.005600000000000001
2015-09-17,107.07,106.92,108.67,106.58,56140000.0,0.0004
2015-09-18,105.29,105.17,106.54,105.11,48380000.0,-0.0166
2015-09-21,105.62,105.87,106.49,104.68,35770000.0,0.0031
2015-09-22,104.05,104.01,104.37,103.08,47360000.0,-0.0149
2015-09-23,104.13,104.33,104.61,103.59,21780000.0,0.0008
2015-09-24,103.75,103.12,104.14,102.22,38280000.0,-0.0036
2015-09-25,102.87,104.85,104.95,102.23,44700000.0,-0.0085
2015-09-28,99.94,102.43,102.5,99.64,44080000.0,-0.0285
2015-09-29,99.42,100.19,101.21,98.7,49320000.0,-0.0052
2015-09-30,101.71,100.84,101.82,100.45,41410000.0,0.023
