Date,Close,Open,High,Low,Volume,Change
2015-01-02,127.32,126.29,127.66,126.15,9430000.0,0.0111
2015-01-05,129.32,128.01,129.63,127.96,9790000.0,0.015700000000000002
2015-01-06,131.65,130.7,132.49,130.19,18330000.0,0.018000000000000002
2015-01-07,131.39,130.7,131.97,130.17,9760000.0,-0.002
2015-01-08,129.65,130.36,130.37,129.42,8060000.000000001,-0.0132
2015-01-09,131.07,129.2,131.11,129.04,9400000.0,0.011000000000000001
2015-01-12,131.82,131.0,132.31,130.92,6660000.0,0.005699999999999999
2015-01-13,131.82,131.39,132.61,131.14,8260000.0,0.0
2015-01-14,132.82,133.72,134.12,132.7,12320000.0,0.0076
2015-01-15,134.91,132.85,135.03,132.68,11450000.0,0.015700000000000002
2015-01-16,133.19,134.33,134.68,133.03,9390000.0,-0.0127
2015-01-20,134.96,134.13,135.11,134.07,7760000.0,0.013300000000000001
2015-01-21,133.4,135.2,135.59,132.96,9800000.0,-0.0116
2015-01-22,132.92,134.0,134.18,132.28,10200000.0,-0.0036
2015-01-23,134.77,134.3,135.12,134.15,7330000.0,0.0139
2015-01-26,134.36,134.84,135.19,134.05,5970000.0,-0.003
2015-01-27,134.57,135.73,136.13,134.15,8080000.0,0.0016
2015-01-28,136.77,134.75,137.41,134.7,12230000.0,0.0163
2015-01-29,135.87,136.12,136.67,135.46,8880000.0,-0.0066
2015-01-30,138.28,137.71,138.5,137.18,14870000.0,0.0177
2015-02-02,137.48,136.7,137.92,136.66,13690000.0,-0.0058
2015-02-03,134.57,135.65,135.79,134.37,14010000.0,-0.0212
2015-02-04,134.8,133.49,134.99,133.12,11360000.0,0.0017000000000000001
2015-02-05,133.32,134.0,134.23,133.11,8330000.0,-0.011000000000000001
2015-02-06,130.96,132.05,132.35,130.59,13690000.0,-0.0177
2015-02-09,130.75,131.97,131.98,130.75,8029999.999999999,-0.0016
2015-02-10,129.71,130.14,130.47,129.44,8289999.999999999,-0.008
2015-02-11,129.95,129.7,130.27,128.96,6510000.0,0.0019
2015-02-12,129.52,129.66,130.54,129.45,12550000.0,-0.0033
2015-02-13,128.19,129.51,129.53,128.09,8330000.0,-0.0103
2015-02-17,126.26,127.8,127.93,125.92,14970000.0,-0.0151
2015-02-18,127.01,126.82,127.74,126.47,14010000.0,0.0059
2015-02-19,126.17,126.78,127.44,126.17,8580000.0,-0.0066
2015-02-20,126.54,127.05,128.01,126.0,12500000.0,0.0029
2015-02-23,127.99,127.19,128.17,127.16,7500000.0,0.0115
2015-02-24,129.67,127.65,129.79,127.18,11960000.0,0.0131
2015-02-25,130.23,129.46,130.38,129.08,8020000.0,0.0043
2015-02-26,128.45,129.7,130.3,128.4,11020000.0,-0.0137
2015-02-27,129.53,129.02,129.62,128.27,9230000.0,0.0084
2015-03-02,126.87,129.0,129.07,126.77,11320000.0,-0.020499999999999997
2015-03-03,126.41,126.89,127.37,126.38,8600000.0,-0.0036
2015-03-04,126.45,126.94,127.04,126.16,6480000.0,0.0003
2015-03-05,126.29,126.53,126.88,125.9,6040000.0,-0.0013
2015-03-06,123.5,124.67,124.83,122.97,20020000.0,-0.022099999999999998
